,1joints,2joints,3joints,4joints,5joints,6joints,7joints
0,101,96,75,61,90,102,117
1,29,27,15,13,28,38,36
2,18,5,19,32,40,24,8
3,25,42,22,11,13,17,32
4,20,24,51,6,49,35,29
5,15,30,29,17,55,31,24
6,8,8,20,8,29,40,59
7,22,20,4,23,46,21,39
8,13,9,5,23,52,20,27
9,7,17,1,22,32,6,65
10,22,35,10,25,17,27,5
11,40,11,7,25,31,33,45
12,26,52,27,33,33,82,7
13,21,39,43,72,27,4,32
14,5,45,3,5,6,26,50
15,20,33,18,26,30,27,27
16,1,13,24,15,42,45,9
17,5,1,27,23,68,43,61
18,29,25,10,10,57,39,57
19,40,40,38,32,26,4,21
20,23,18,25,20,41,36,55
21,18,6,33,28,29,22,14
22,15,32,32,25,32,48,38
23,17,14,6,22,55,49,10
24,5,8,13,15,53,35,21
25,15,9,44,17,29,23,22
26,12,26,30,8,26,38,28
27,15,27,12,6,71,62,27
28,22,19,7,21,7,63,43
29,20,1,32,7,34,55,34
30,18,12,14,47,6,38,33
31,19,16,14,17,1,47,34
32,14,12,16,29,33,20,8
33,9,18,13,37,20,28,44
34,13,31,14,42,19,32,67
35,5,45,13,20,28,36,30
36,11,16,13,40,46,53,29
37,17,20,18,10,41,16,36
38,5,9,17,32,4,21,27
39,37,29,26,31,5,35,9
40,24,21,41,28,14,29,27
41,3,24,15,35,36,28,31
42,1,35,16,47,24,16,28
43,14,5,26,13,36,45,68
44,33,21,7,13,45,54,40
45,23,8,3,23,15,32,27
46,22,49,33,34,31,12,28
47,27,40,28,5,14,28,10
48,1,12,30,8,17,31,25
49,15,2,9,34,3,27,11
50,2,12,23,34,16,22,20
51,26,9,36,14,19,46,47
52,17,3,17,11,61,38,42
53,20,29,4,8,49,30,33
54,25,21,16,6,34,48,33
55,12,10,5,26,24,26,24
56,2,37,8,31,5,30,15
57,30,45,34,12,51,74,34
58,28,47,44,9,40,51,15
59,11,41,14,17,31,35,41
60,20,19,40,63,11,47,64
61,22,17,22,4,29,22,22
62,19,7,9,63,51,17,32
63,24,17,9,17,36,4,27
64,7,29,21,11,29,33,45
65,7,8,11,17,25,66,15
66,6,32,21,31,29,42,37
67,12,14,20,16,36,26,64
68,22,39,21,35,19,41,49
69,6,37,54,39,32,46,26
70,4,17,41,59,54,12,10
71,30,29,13,42,37,8,8
72,6,22,4,21,63,31,38
73,2,35,10,41,53,57,62
74,20,21,9,64,11,11,38
75,2,8,29,21,66,62,15
76,1,9,8,25,20,33,3
77,1,26,21,50,32,32,9
78,16,23,23,47,7,46,38
79,22,21,45,35,8,30,63
80,30,10,25,6,38,28,27
81,12,8,21,10,39,41,16
82,37,1,23,6,49,10,56
83,29,27,20,36,43,44,25
84,21,10,8,41,59,52,45
85,8,11,13,40,60,47,8
86,27,22,30,7,55,52,17
87,1,44,26,25,35,45,44
88,16,23,21,28,14,13,39
89,4,10,28,11,6,17,52
90,12,11,14,33,32,9,63
91,15,21,24,59,44,45,19
92,11,20,20,22,33,52,64
93,27,1,24,10,39,33,62
94,35,13,26,34,37,30,20
95,22,20,10,46,2,41,43
96,35,9,38,20,13,31,28
97,7,7,13,30,10,36,43
98,3,19,14,37,12,10,6
99,22,18,4,20,33,35,56
