,7,9,11,13,15
0,199,199,199,199,199
1,199,199,199,199,199
2,199,199,199,199,199
3,84,199,199,199,199
4,197,199,199,199,199
5,101,199,199,199,199
6,199,199,199,199,199
7,199,199,199,199,199
8,81,199,199,199,199
9,199,199,199,199,199
10,66,199,175,199,199
11,194,188,199,199,199
12,14,199,199,199,199
13,199,199,199,199,199
14,18,199,199,199,199
15,199,199,199,199,199
16,199,199,199,199,199
17,119,199,199,199,199
18,199,85,199,199,199
19,199,199,199,199,199
20,199,199,199,199,199
21,199,199,199,199,199
22,199,199,199,199,199
23,199,199,199,199,199
24,199,199,199,199,199
25,199,199,199,199,199
26,199,199,199,199,199
27,186,199,199,199,199
28,199,199,199,199,199
29,199,199,199,199,199
30,199,199,199,199,199
31,199,199,199,199,199
32,199,199,199,199,199
33,103,199,199,199,199
34,76,199,199,199,199
35,199,199,199,199,199
36,199,199,199,199,199
37,199,199,199,199,199
38,199,199,199,199,199
39,199,199,199,199,199
40,155,199,199,199,199
41,199,199,199,199,199
42,27,13,199,199,199
43,199,30,199,199,199
44,45,199,199,199,199
45,75,199,67,199,199
46,199,199,199,199,199
47,199,199,199,199,199
48,199,199,199,199,199
49,199,199,199,199,199
50,177,199,199,199,199
51,85,199,199,199,199
52,199,199,199,199,199
53,199,199,199,199,199
54,76,199,199,199,199
55,199,199,199,199,199
56,199,199,199,199,199
57,199,199,199,199,199
58,199,199,199,199,199
59,199,199,199,199,199
60,199,199,199,199,199
61,199,199,133,199,199
62,22,199,199,199,199
63,199,199,199,199,199
64,172,199,199,199,199
65,199,52,199,199,199
66,199,199,199,199,199
67,199,199,199,199,199
68,199,199,199,199,199
69,32,199,199,199,199
70,199,199,199,199,199
71,3,199,199,199,199
72,199,8,199,199,199
73,83,199,199,199,199
74,199,199,199,199,199
75,199,199,199,199,199
76,199,199,199,199,199
77,199,199,199,199,199
78,199,199,199,199,199
79,57,199,199,199,199
80,199,199,199,199,199
81,199,199,199,199,199
82,199,98,199,199,199
83,196,199,199,199,199
84,199,199,199,199,199
85,199,199,199,199,199
86,141,199,199,199,199
87,157,199,199,199,199
88,199,199,199,199,199
89,77,67,199,199,199
90,199,199,199,199,199
91,199,94,199,199,199
92,199,83,199,199,199
93,188,199,199,199,199
94,199,199,199,199,199
95,199,199,199,199,199
96,55,199,199,199,199
97,139,199,199,199,199
98,199,199,199,199,199
99,62,199,199,199,199
100,199,199,199,199,199
101,199,199,199,199,199
102,199,199,199,199,199
103,199,199,199,199,199
104,199,199,199,199,199
105,98,199,199,199,199
106,199,199,199,199,199
107,199,199,199,199,199
108,199,199,199,199,199
109,40,199,199,199,199
110,58,199,199,199,199
111,199,199,199,199,199
112,139,199,199,199,199
113,199,199,199,199,199
114,199,199,199,199,199
115,199,180,199,199,199
116,199,199,199,199,199
117,175,199,199,199,199
118,199,199,199,199,199
119,76,199,199,199,199
120,54,199,199,199,199
121,199,199,190,199,199
122,199,199,199,199,199
123,199,199,199,199,199
124,82,136,158,199,199
125,199,199,199,199,199
126,57,114,199,199,199
127,76,199,199,199,199
128,199,199,199,199,199
129,199,199,199,199,199
130,199,199,199,199,199
131,199,199,199,199,199
132,199,55,199,199,199
133,60,199,199,199,199
134,199,199,199,199,199
135,199,199,199,199,199
136,106,199,199,199,199
137,199,123,199,199,199
138,199,199,199,199,199
139,199,199,199,199,199
140,199,199,199,199,199
141,199,199,199,199,199
142,199,116,199,199,199
143,7,199,199,199,199
144,50,199,199,199,199
145,187,199,199,199,199
146,199,199,199,199,199
147,199,137,199,199,199
148,199,199,199,199,199
149,13,199,199,199,199
150,199,199,199,199,199
151,77,199,199,199,199
152,199,199,199,199,199
153,199,199,199,199,199
154,13,199,199,199,199
155,29,199,199,199,199
156,199,199,199,199,199
157,199,199,199,199,199
158,199,199,199,199,199
159,199,199,199,199,199
160,199,199,199,199,199
161,32,199,199,199,199
162,199,199,199,199,199
163,199,199,199,199,199
164,199,199,199,199,199
165,199,199,199,199,199
166,199,199,199,199,199
167,50,199,199,199,199
168,199,199,199,199,199
169,3,199,199,199,199
170,199,199,199,199,199
171,199,199,199,199,199
172,199,199,199,199,199
173,3,199,199,199,199
174,15,199,199,199,199
175,199,150,199,199,199
176,199,199,199,199,199
177,199,199,199,199,199
178,199,199,199,199,199
179,199,199,199,199,199
180,199,199,199,199,199
181,199,199,199,199,199
182,97,199,199,199,199
183,199,199,199,199,199
184,199,199,199,199,199
185,199,199,199,199,199
186,199,199,199,199,199
187,199,199,199,199,199
188,199,199,199,199,199
189,199,187,199,199,199
190,199,199,199,199,199
191,199,199,199,199,199
192,199,199,199,199,199
193,12,199,199,199,199
194,199,199,199,199,199
195,199,199,199,199,199
196,199,199,199,199,199
197,173,199,199,199,199
198,199,199,199,199,199
199,199,199,199,199,199
200,199,199,199,199,199
201,173,199,199,199,199
202,199,199,199,199,199
203,156,199,199,199,199
204,56,199,199,199,199
205,199,199,199,199,199
206,199,199,199,199,199
207,173,199,199,199,199
208,199,199,199,199,199
209,152,199,199,199,199
210,73,199,107,199,199
211,199,199,199,199,199
212,16,199,199,199,199
213,199,199,199,199,199
214,199,199,199,199,199
215,199,199,199,199,199
216,199,199,199,199,199
217,199,199,199,199,199
218,199,199,199,199,199
219,199,199,199,199,199
220,199,199,199,199,199
221,134,98,199,199,199
222,199,199,199,199,199
223,54,199,199,199,199
224,78,199,199,199,42
225,199,199,199,199,199
226,199,199,199,199,199
227,36,199,199,199,199
228,199,199,199,199,199
229,199,199,199,199,199
230,199,199,199,199,199
231,199,199,199,199,199
232,199,199,199,199,199
233,199,199,151,199,199
234,199,199,199,199,199
235,199,199,199,199,199
236,199,70,199,199,199
237,199,199,199,199,199
238,199,199,199,199,199
239,199,199,199,199,199
240,199,199,199,199,199
241,199,199,199,199,199
242,199,199,199,199,199
243,199,199,199,199,199
244,199,199,199,199,199
245,75,199,199,199,199
246,199,199,199,199,199
247,59,199,199,199,199
248,11,199,36,199,199
249,199,199,199,199,199
250,199,199,119,199,199
251,199,199,199,199,199
252,57,199,199,199,199
253,77,199,199,199,199
254,199,199,199,199,199
255,199,199,199,199,199
256,199,144,199,199,199
257,199,199,199,199,199
258,199,199,199,199,199
259,199,199,199,199,199
260,105,199,199,199,199
261,199,199,199,199,199
262,199,199,199,199,199
263,199,199,199,199,199
264,199,199,199,199,199
265,199,199,199,199,199
266,199,199,199,199,199
267,199,199,199,199,199
268,199,199,199,199,199
269,28,199,199,199,199
270,199,199,199,199,199
271,199,199,199,199,199
272,199,144,199,199,199
273,199,199,199,199,199
274,199,199,199,199,199
275,199,199,199,199,199
276,199,199,199,199,199
277,199,199,199,199,199
278,180,199,199,199,199
279,199,199,199,199,199
280,199,199,199,199,199
281,199,199,199,199,199
282,199,199,199,199,199
283,6,199,199,199,199
284,199,199,199,199,199
285,199,199,199,199,199
286,198,199,199,199,199
287,199,199,199,199,199
288,199,117,199,199,199
289,199,199,199,199,199
290,199,199,199,199,199
291,79,199,199,199,199
292,90,199,199,199,199
